room_type,person_capacity,host_is_superhost,multi,biz,cleanliness_rating,guest_satisfaction_overall,bedrooms,dist,metro_dist,lng,lat,european_city,weekday_or_weekend,cost per night cad,attr_index,rest_index
Entire home/apt,2,False,0,1,10,100,3,1.6702908,0.69728774,2.18388,41.37631,Barcelona,weekend,4442.99811451,501.0259222,973.6069606
Private room,4,False,1,0,10,100,2,1.2128255,0.40681303,2.18374,41.38361,Barcelona,weekend,591.414341214,610.1645055,1565.322969
Entire home/apt,6,False,0,0,10,100,3,1.6352558,0.64632821,2.18327,41.37631,Barcelona,weekend,2153.96467055,476.8625264,994.6985143
Entire home/apt,6,False,1,0,10,100,2,1.8386457,0.40194687,2.17842,41.40244,Barcelona,weekend,456.175669721,723.5617952999999,698.9809682
Private room,4,False,0,1,10,80,1,0.28101817,0.26895213,2.17263,41.38555,Barcelona,weekend,401.128773246,706.6927397,1541.206281
Entire home/apt,3,False,0,1,2,20,1,1.7931765,0.27017236,2.15126,41.3793,Barcelona,weekend,400.449181936,330.6713355,771.3113987
Entire home/apt,2,False,0,1,10,90,1,1.1897203,0.47072908,2.18408,41.38553,Barcelona,weekend,456.345567512,630.7549953,1313.746926
Private room,2,True,1,0,10,100,1,2.6008091,0.74949312,2.18122,41.40899,Barcelona,weekend,397.051225386,390.7496133,522.4679399
Private room,3,False,0,1,9,93,1,1.181788,0.090873249,2.17587,41.37745,Barcelona,weekend,456.345567512,614.2008965,1314.658331
Private room,4,False,0,1,9,60,1,1.2550889,0.023694072,2.17531,41.37656,Barcelona,weekend,456.345567512,554.1592636,1184.80641
Entire home/apt,5,False,0,1,9,85,2,0.33358774,0.31955406,2.17283,41.38501,Barcelona,weekend,912.18144187,728.9787333,1554.111112
Entire home/apt,6,False,0,1,10,100,2,0.74535072,0.051288772,2.1738,41.38106,Barcelona,weekend,912.18144187,1522.38073,1847.785894
Private room,4,False,0,1,7,60,1,1.1308155,0.17148548,2.17371,41.37734,Barcelona,weekend,464.670561096,620.5703832,1241.385947
Entire home/apt,4,False,0,1,10,90,2,0.38628584,0.3282463,2.17257,41.38424,Barcelona,weekend,903.85644814,770.6329528,1610.246394
Entire home/apt,6,False,0,1,9,90,2,0.51797962,0.3125366,2.1762,41.38736,Barcelona,weekend,633.718900517,915.1046521,1415.484713
Entire home/apt,4,False,0,1,10,90,0,1.1375455,0.55385655,2.17677,41.39603,Barcelona,weekend,388.386436074,512.4342584,882.9910832
Entire home/apt,4,False,0,1,10,92,1,1.1393059,0.65441036,2.17556,41.39651,Barcelona,weekend,388.386436074,530.1987139,927.9897494
Entire home/apt,4,False,0,1,10,90,1,1.1738683,0.59874928,2.17666,41.39645,Barcelona,weekend,388.386436074,518.4701413,878.6032844999999
Entire home/apt,6,False,0,1,8,84,3,2.5033455,0.5539794,2.19991,41.38834,Barcelona,weekend,642.043894174,266.2843626,678.9484207
